,Feature,Feature Importance
0,nir_narrow_2021-11-30,0.10524695289284353
1,green_2022-01-31,0.05493170681027305
2,red_edge_1_2021-09-30,0.043199486767376324
3,nir_narrow_2022-01-31,0.032817404447908906
4,red_edge_2_2022-01-31,0.03202226750917148
5,swir_2_2021-09-30,0.031794485611708945
6,nir_2022-01-31,0.028243269825863258
7,vh_2021-12-31,0.027669794546538347
8,red_edge_1_2022-01-31,0.02755615977369128
9,swir_1_2022-01-31,0.02646878252417928
10,nir_narrow_2021-09-30,0.021833616779998514
11,vh_2021-10-31,0.020962148421831018
12,vv_2022-01-31,0.02051183081292589
13,vh_2021-09-30,0.020161591913851123
14,swir_1_2021-09-30,0.019982392589121434
15,red_edge_1_2021-10-31,0.01759524490653092
16,blue_2021-09-30,0.01715510807923089
17,swir_1_2021-12-31,0.016609946515569917
18,red_edge_2_2021-12-31,0.015343420989372514
19,green_2021-09-30,0.01467895040162509
20,red_edge_2_2021-11-30,0.013726090632428743
21,red_edge_3_2021-11-30,0.013705472898803406
22,vv_2021-12-31,0.013141241649497773
23,vv_2021-09-30,0.013129478350954293
24,SAVI_2021-11-30,0.013052453449165698
25,red_edge_3_2022-01-31,0.012881227519402507
26,nir_narrow_2021-12-31,0.012453699277417024
27,vv_2021-10-31,0.012401202886685954
28,swir_2_2022-01-31,0.01229278419585773
29,vv_2021-11-30,0.01146562808042096
30,red_2021-10-31,0.011005428946751274
31,vh_2022-01-31,0.010233943332185897
32,vh_2021-11-30,0.010175408189598539
33,red_edge_1_2021-11-30,0.010111405668408156
34,swir_2_2021-12-31,0.008603501961711932
35,nir_2021-09-30,0.008362444443776889
36,blue_2021-10-31,0.007945523147758591
37,swir_1_2021-10-31,0.007891649657187534
38,NDVI_2022-01-31,0.007689536227422109
39,swir_1_2021-11-30,0.0075697992664449645
40,swir_2_2021-10-31,0.007540292325918271
41,red_2021-09-30,0.00702326852347711
42,LAI_2022-01-31,0.006903664461908334
43,SAVI_2022-01-31,0.0068488592481455255
44,red_edge_2_2021-10-31,0.006721037516976157
45,green_2021-11-30,0.0063761416205887125
46,swir_2_2021-11-30,0.0063239995033783705
47,red_edge_2_2021-09-30,0.006284772311924063
48,CI_2022-01-31,0.006204513457757137
49,blue_2022-01-31,0.005939921416717777
50,NDVI_2021-09-30,0.005907886746448578
51,NDVI_2021-10-31,0.005819542699040278
52,red_edge_3_2021-09-30,0.005398914134354548
53,blue_2021-11-30,0.005372177576180967
54,red_edge_3_2021-10-31,0.005003855574363855
55,nir_2021-11-30,0.004865984286917074
56,nir_narrow_2021-10-31,0.004770012201793769
57,red_2022-01-31,0.0047297464242680295
58,EVI_2022-01-31,0.004587308778670279
59,red_edge_3_2021-12-31,0.004094076564320919
60,nir_2021-12-31,0.004065988345795855
61,red_edge_1_2021-12-31,0.00397408182277645
62,green_2021-10-31,0.00397109456467876
63,MSAVI_2021-09-30,0.0036407261489492908
64,CI_2021-10-31,0.003638583200009095
65,SAVI_2021-09-30,0.00346826427188534
66,nir_2021-10-31,0.0032369792725322833
67,MSAVI_2021-11-30,0.003186331346426026
68,blue_2021-12-31,0.0030640733338236463
69,red_2021-12-31,0.0028763892131671077
70,CI_2021-09-30,0.002748191057119804
71,green_2021-12-31,0.0026471382342371395
72,LAI_2021-09-30,0.00263292839008481
73,EVI_2021-09-30,0.0025173946152960936
74,MSAVI_2022-01-31,0.002414509897334252
75,red_2021-11-30,0.0022726453845126468
76,SAVI_2021-10-31,0.0017749038792853106
77,LAI_2021-10-31,0.0016455789495990884
78,CI_2021-12-31,0.0016349240748785975
79,EVI_2021-10-31,0.001631067095336589
80,NDVI_2021-11-30,0.0016168227862416054
81,LAI_2021-11-30,0.0015516799879778612
82,LAI_2021-12-31,0.001489725179317519
83,CI_2021-11-30,0.0014359372825598253
84,MSAVI_2021-10-31,0.0014136063828676677
85,NDVI_2021-12-31,0.0014129778495191167
86,SAVI_2021-12-31,0.0013389030627818722
87,MSAVI_2021-12-31,0.001308973767029898
88,EVI_2021-12-31,0.0012130408020977882
89,EVI_2021-11-30,0.0008380825272372261
